bgt_name,polygon,x_min,y_max,x_max,y_min
rijbaan_lokale_weg,"[[114670.662, 484969.036], [114666.923, 484967.827], [114606.709, 484948.507], [114604.898, 484947.885], [114599.559, 484946.182], [114597.665, 484951.87], [114598.538, 484952.095], [114602.815, 484953.465], [114613.92, 484957.031], [114649.793, 484968.548], [114664.787, 484973.335], [114665.048, 484973.403], [114667.413, 484973.815], [114668.918, 484974.054], [114678.667, 484975.838], [114683.677, 484976.781], [114684.085, 484976.869], [114685.586, 484977.29], [114691.813, 484979.284], [114693.569, 484973.801], [114667.752, 484965.468], [114671.265, 484967.156], [114676.856, 484969.777], [114676.9000569, 484969.8055179], [114676.9415515, 484969.83765], [114676.9801883, 484969.8731673], [114677.0156917, 484969.9118168], [114677.0478089, 484969.953323], [114677.076311, 484969.9973901], [114677.1009947, 484970.0437041], [114677.1216844, 484970.091935], [114677.1382324, 484970.141739], [114677.1505209, 484970.1927613], [114677.1584623, 484970.2446382], [114677.162, 484970.297], [114677.161027, 484970.3508294], [114677.1554003, 484970.4043727], [114677.1451623, 484970.4572285], [114677.1303897, 484970.5090003], [114677.1111932, 484970.5592999], [114677.0877169, 484970.60775], [114677.0601367, 484970.6539873], [114677.0286596, 484970.697665], [114676.9935216, 484970.7384556], [114676.9549863, 484970.7760531], [114676.9133425, 484970.8101756], [114676.8689026, 484970.8405672], [114676.822, 484970.867], [114676.7751204, 484970.8861317], [114676.7267441, 484970.9010802], [114676.6772436, 484970.9117303], [114676.627, 484970.918], [114676.5765674, 484970.9198423], [114676.5261668, 484970.917271], [114676.4761835, 484970.9103058], [114676.427, 484970.899], [114670.662, 484969.036]]",114597.665,484979.284,114693.569,484946.182
rijbaan_regionale_weg,"[[114529.505, 485096.341], [114528.5, 485096.041], [114534.206, 485078.258], [114540.863, 485057.511], [114544.253, 485047.001], [114546.705, 485039.653], [114551.563, 485026.6], [114557.909, 485009.528], [114558.504, 485009.79], [114558.4623297, 485009.7662507], [114558.422893, 485009.7389526], [114558.3859914, 485009.7083142], [114558.3519069, 485009.6745697], [114558.3209001, 485009.6379771], [114558.2932079, 485009.598816], [114558.2690421, 485009.5573859], [114558.2485873, 485009.5140034], [114558.232, 485009.469], [114558.2199574, 485009.4251343], [114558.2115904, 485009.3804218], [114558.2069565, 485009.3351697], [114558.2060874, 485009.2896893], [114558.2089892, 485009.2442933], [114558.215642, 485009.1992937], [114558.226, 485009.155], [114563.259, 484996.043], [114563.966, 484994.151], [114564.638, 484992.235], [114569.357, 484978.001], [114574.625, 484962.143], [114576.468, 484956.426], [114576.804, 484955.516], [114569.651, 484953.198], [114569.727, 484954.263], [114569.7711087, 484954.8773416], [114569.7741132, 484955.4932573], [114569.736, 484956.108], [114569.6368074, 484956.8370867], [114569.4798076, 484957.5559453], [114569.266, 484958.26], [114568.686, 484960.059], [114547.748, 485024.974], [114530.513, 485078.504], [114520.257, 485110.357], [114520.2504263, 485110.3771475], [114520.2434253, 485110.3971505], [114520.236, 485110.417], [114520.2280893, 485110.436844], [114520.2197547, 485110.4565137], [114520.211, 485110.476], [114519.398, 485112.877], [114524.206, 485114.1], [114526.613, 485105.529], [114526.5305157, 485105.4901317], [114526.4516866, 485105.4443017], [114526.377099, 485105.3918507], [114526.3073075, 485105.3331689], [114526.2428311, 485105.2686925], [114526.1841493, 485105.198901], [114526.1316983, 485105.1243134], [114526.0858683, 485105.0454843], [114526.047, 485104.963], [114526.0163119, 485104.8803515], [114525.9926154, 485104.7954339], [114525.9760751, 485104.7088375], [114525.966806, 485104.6211642], [114525.9648726, 485104.5330235], [114525.9702883, 485104.4450281], [114525.9830155, 485104.3577896], [114526.0029656, 485104.2719146], [114526.03, 485104.188], [114528.316, 485097.06], [114528.3494222, 485096.9760821], [114528.389663, 485096.8952123], [114528.4364474, 485096.8179435], [114528.4894555, 485096.744804], [114528.5483248, 485096.6762937], [114528.6126529, 485096.6128812], [114528.682, 485096.555], [114528.7615346, 485096.4994418], [114528.8456848, 485096.4511591], [114528.9337869, 485096.4105329], [114529.025146, 485096.3778834], [114529.1190415, 485096.3534683], [114529.2147329, 485096.3374801], [114529.3114655, 485096.3300449], [114529.4084762, 485096.3312213], [114529.505, 485096.341]]",114519.398,485114.1,114576.804,484953.198
rijbaan_regionale_weg,"[[114531.82, 485107.021], [114541.22, 485077.792], [114555.386, 485033.746], [114560.728, 485017.118], [114561.2052724, 485015.6447924], [114561.6902768, 485014.1741122], [114562.183, 485012.706], [114562.6058306, 485011.4661007], [114563.0341668, 485010.2280925], [114563.468, 485008.992], [114566.617, 485000.539], [114569.27, 484993.764], [114576.184, 484975.705], [114578.454, 484969.526], [114580.283, 484963.92], [114582.3, 484958.287], [114582.562, 484957.402], [114578.602, 484956.137], [114578.283, 484957.048], [114576.385, 484962.735], [114573.969, 484969.99], [114569.414, 484983.325], [114568.411, 484986.166], [114565.18, 484994.572], [114559.504, 485009.555], [114559.4878724, 485009.596153], [114559.4683908, 485009.6358284], [114559.445689, 485009.6737532], [114559.4199232, 485009.7096669], [114559.3912706, 485009.7433224], [114559.3599281, 485009.7744883], [114559.3261112, 485009.8029504], [114559.2900526, 485009.8285129], [114559.252, 485009.851], [114559.2069707, 485009.8724991], [114559.1601283, 485009.8896934], [114559.1118834, 485009.9024322], [114559.0626586, 485009.9106038], [114559.0128855, 485009.9141368], [114558.963, 485009.913], [114559.379, 485010.036], [114554.59, 485025.232], [114548.777, 485043.098], [114539.488, 485071.979], [114537.542, 485078.037], [114531.451, 485096.995], [114530.438, 485096.645], [114530.5143343, 485096.6913594], [114530.5864824, 485096.7439977], [114530.6539289, 485096.802539], [114530.7161924, 485096.8665654], [114530.7728284, 485096.9356196], [114530.8234323, 485097.0092088], [114530.867643, 485097.0868074], [114530.9051447, 485097.1678614], [114530.9356697, 485097.251792], [114530.959, 485097.338], [114530.9760182, 485097.4336648], [114530.9841791, 485097.5304882], [114530.9834136, 485097.6276519], [114530.9737282, 485097.7243347], [114530.9552048, 485097.8197194], [114530.928, 485097.913], [114528.636, 485105.064], [114528.5991191, 485105.1560932], [114528.5540092, 485105.2444474], [114528.5010449, 485105.3283291], [114528.4406659, 485105.4070421], [114528.3733733, 485105.4799329], [114528.2997257, 485105.5463965], [114528.2203346, 485105.605881], [114528.135859, 485105.6578928], [114528.047, 485105.702], [114527.9616416, 485105.7354088], [114527.8737756, 485105.7615196], [114527.7840248, 485105.7801473], [114527.6930252, 485105.79116], [114527.6014218, 485105.7944796], [114527.5098637, 485105.7900825], [114527.419, 485105.778], [114526.613, 485105.529], [114524.206, 485114.1], [114529.16, 485115.36], [114531.82, 485107.021]]",114524.206,485115.36,114582.562,484956.137
rijbaan_regionale_weg,"[[114597.665, 484951.87], [114599.559, 484946.182], [114596.484, 484945.159], [114596.4446302, 484945.1428547], [114596.4067522, 484945.1234661], [114596.3706328, 484945.1009707], [114596.3365262, 484945.0755268], [114596.3046725, 484945.0473134], [114596.2752958, 484945.0165293], [114596.2486029, 484944.983391], [114596.2247817, 484944.9481318], [114596.204, 484944.911], [114596.1864258, 484944.8723108], [114596.1721519, 484944.8322862], [114596.1612785, 484944.7912073], [114596.153882, 484944.7493623], [114596.1500143, 484944.707045], [114596.1497025, 484944.6645525], [114596.1529489, 484944.6221831], [114596.1597306, 484944.5802341], [114596.17, 484944.539], [114596.526, 484943.502], [114596.5464823, 484943.4608655], [114596.5705467, 484943.4217185], [114596.5980018, 484943.3848703], [114596.6286296, 484943.3506137], [114596.6621865, 484943.3192209], [114596.6984059, 484943.2909414], [114596.737, 484943.266], [114596.7749281, 484943.2458916], [114596.8143979, 484943.2290091], [114596.8551356, 484943.2154694], [114596.8968588, 484943.2053665], [114596.9392778, 484943.1987705], [114596.9820987, 484943.1957272], [114597.0250243, 484943.1962575], [114597.0677568, 484943.200358], [114597.11, 484943.208], [114594.2916305, 484942.5560768], [114591.4633994, 484941.9483605], [114588.626, 484941.385], [114586.3658805, 484940.9691695], [114584.1007637, 484940.5814829], [114581.831, 484940.222], [114580.459, 484947.864], [114580.5311935, 484947.9010828], [114580.6000999, 484947.9439656], [114580.6652543, 484947.9923591], [114580.7262171, 484948.0459369], [114580.7825769, 484948.1043373], [114580.8339534, 484948.1671663], [114580.88, 484948.234], [114580.9203743, 484948.3043266], [114580.9548455, 484948.3777272], [114580.9831814, 484948.4537073], [114581.0051912, 484948.5317553], [114581.0207266, 484948.6113452], [114581.029683, 484948.6919411], [114581.032, 484948.773], [114581.030479, 484948.8329242], [114581.0254733, 484948.8926584], [114581.017, 484948.952], [114581.0050611, 484949.0108621], [114580.9897103, 484949.068928], [114580.971, 484949.126], [114579.551, 484953.289], [114579.24, 484954.2], [114578.602, 484956.137], [114582.562, 484957.402], [114586.554, 484954.591], [114586.564769, 484954.5800968], [114586.5757707, 484954.5694285], [114586.587, 484954.559], [114586.5981298, 484954.5490963], [114586.6094648, 484954.5394283], [114586.621, 484954.53], [114588.201, 484953.439], [114588.2098784, 484953.4337831], [114588.2188801, 484953.4287822], [114588.228, 484953.424], [114588.2372278, 484953.4194418], [114588.246563, 484953.4151076], [114588.256, 484953.411], [114588.858, 484953.035], [114589.861, 484952.559], [114590.902, 484952.174], [114591.974, 484951.884], [114593.068, 484951.692], [114594.221, 484951.598], [114594.7207624, 484951.588066], [114595.2205914, 484951.5937345], [114595.72, 484951.615], [114596.2027717, 484951.6504399], [114596.6842517, 484951.7004551], [114597.164, 484951.765], [114597.665, 484951.87]]",114578.602,484957.402,114599.559,484940.222
rijbaan_regionale_weg,"[[114580.459, 484947.864], [114581.831, 484940.222], [114579.6706378, 484939.8481364], [114577.5186513, 484939.4287407], [114575.376, 484938.964], [114572.7121156, 484938.3195862], [114570.0661677, 484937.6050869], [114567.44, 484936.821], [114566.868, 484938.909], [114565.97, 484938.617], [114565.919, 484938.601], [114562.144, 484937.394], [114554.818, 484935.041], [114553.189, 484934.518], [114550.95, 484941.449], [114559.549, 484942.856], [114559.589, 484942.863], [114560.352, 484943.093], [114562.249, 484943.719], [114562.5165493, 484943.8286425], [114562.7809506, 484943.9456726], [114563.042, 484944.07], [114563.3821738, 484944.2456958], [114563.7156575, 484944.4337806], [114564.042, 484944.634], [114564.832, 484945.181], [114567.459, 484947.923], [114567.4960277, 484947.956557], [114567.5294752, 484947.9936837], [114567.559, 484948.034], [114567.5841681, 484948.0768404], [114567.6049048, 484948.1219927], [114567.621, 484948.169], [114567.896, 484948.634], [114567.9052899, 484948.6499975], [114567.9139608, 484948.6663389], [114567.922, 484948.683], [114567.9293078, 484948.6997439], [114567.9359776, 484948.716752], [114567.942, 484948.734], [114568.547, 484949.755], [114568.5665606, 484949.796514], [114568.5822706, 484949.8396328], [114568.594, 484949.884], [114568.6012393, 484949.9259732], [114568.6049147, 484949.9684072], [114568.605, 484950.011], [114569.651, 484953.198], [114576.804, 484955.516], [114577.439, 484953.638], [114577.641, 484953.009], [114577.749, 484952.674], [114579.091, 484948.493], [114579.1171768, 484948.4131711], [114579.1500357, 484948.3358525], [114579.1893395, 484948.2616023], [114579.2348045, 484948.1909566], [114579.2861024, 484948.1244254], [114579.3428629, 484948.0624889], [114579.4046762, 484948.0055944], [114579.4710962, 484947.9541525], [114579.5416433, 484947.9085347], [114579.6158081, 484947.8690702], [114579.6930554, 484947.8360439], [114579.7728274, 484947.8096942], [114579.8545483, 484947.7902115], [114579.9376281, 484947.7777363], [114580.021467, 484947.7723587], [114580.1054597, 484947.7741175], [114580.189, 484947.783], [114580.2814418, 484947.801364], [114580.3717152, 484947.828446], [114580.459, 484947.864]]",114550.95,484955.516,114581.831,484934.518
parkeervlak,"[[114585.249, 485005.69], [114587.697, 484998.226], [114582.186, 484996.42], [114579.751, 485003.925], [114585.249, 485005.69]]",114579.751,485005.69,114587.697,484996.42
parkeervlak,"[[114588.294, 485011.701], [114589.404, 485012.061], [114589.4613293, 485012.0769377], [114589.5197866, 485012.0880466], [114589.5789659, 485012.0942494], [114589.6384562, 485012.0955031], [114589.6978442, 485012.091799], [114589.7567177, 485012.0831628], [114589.8146675, 485012.0696545], [114589.8712914, 485012.0513678], [114589.926196, 485012.0284299], [114589.979, 485012.001], [114590.031665, 485011.9676547], [114590.081221, 485011.9298431], [114590.1272903, 485011.8878533], [114590.1695217, 485011.8420055], [114590.2075934, 485011.7926491], [114590.2412153, 485011.7401602], [114590.270131, 485011.6849388], [114590.2941202, 485011.6274059], [114590.313, 485011.568], [114605.082, 484965.641], [114602.798, 484964.919], [114588.294, 485011.701]]",114588.294,485012.0955031,114605.082,484964.919
parkeervlak,"[[114590.494, 484989.423], [114591.288, 484986.966], [114592.315, 484983.789], [114586.794, 484982.053], [114585.778, 484985.234], [114584.562, 484989.051], [114590.105, 484990.711], [114590.155, 484990.536], [114590.494, 484989.423]]",114584.562,484990.711,114592.315,484982.053
parkeervlak,"[[114594.296, 484975.914], [114598.431, 484963.537], [114593.398, 484961.945], [114589.275, 484974.286], [114594.126, 484975.829], [114594.1558662, 484975.8400394], [114594.1852185, 484975.8523807], [114594.214, 484975.866], [114594.2420249, 484975.8807985], [114594.2693757, 484975.8968087], [114594.296, 484975.914]]",114589.275,484975.914,114598.431,484961.945
fietspad,"[[114481.463, 485231.107], [114481.4295476, 485231.1837165], [114481.3895863, 485231.2572528], [114481.3434155, 485231.3270578], [114481.291381, 485231.3926085], [114481.2338728, 485231.4534139], [114481.1713218, 485231.5090184], [114481.1041965, 485231.5590052], [114481.033, 485231.603], [114480.9549068, 485231.6421799], [114480.8735957, 485231.6741505], [114480.7897305, 485231.6986505], [114480.7039961, 485231.71548], [114480.6170926, 485231.7245015], [114480.5297295, 485231.7256414], [114480.4426201, 485231.7188904], [114480.3564758, 485231.7043035], [114480.272, 485231.682], [114477.079, 485230.655], [114476.9135033, 485230.5848428], [114476.7549008, 485230.5002471], [114476.6044491, 485230.4018831], [114476.4633402, 485230.2905302], [114476.3326921, 485230.1670706], [114476.21354, 485230.0324825], [114476.1068278, 485229.8878322], [114476.0134011, 485229.7342658], [114475.934, 485229.573], [114475.8692539, 485229.4053132], [114475.8196755, 485229.2325333], [114475.7856574, 485229.0560293], [114475.7674693, 485228.8771995], [114475.7652553, 485228.6974607], [114475.7790327, 485228.5182372], [114475.8086927, 485228.3409487], [114475.854, 485228.167], [114476.568, 485225.868], [114495.193, 485167.895], [114510.892, 485119.15], [114512.117, 485115.276], [114512.1664737, 485115.118594], [114512.2298503, 485114.9662533], [114512.3066199, 485114.8202029], [114512.3961652, 485114.6816175], [114512.4977661, 485114.5516116], [114512.6106055, 485114.4312307], [114512.7337758, 485114.3214429], [114512.8662865, 485114.2231312], [114513.007072, 485114.1370862], [114513.155, 485114.064], [114513.3080399, 485114.0047432], [114513.4657512, 485113.9593592], [114513.6268793, 485113.9282091], [114513.7901421, 485113.9115407], [114513.9542407, 485113.9094866], [114514.1178696, 485113.9220632], [114514.2797269, 485113.9491704], [114514.4385248, 485113.9905925], [114514.593, 485114.046], [114516.703, 485114.623], [114517.654, 485114.883], [114517.7664182, 485114.9708725], [114517.8707842, 485115.068172], [114517.9663099, 485115.1741638], [114518.0522743, 485115.2880478], [114518.1280283, 485115.4089641], [114518.193, 485115.536], [114518.245608, 485115.6651453], [114518.2870696, 485115.7982883], [114518.3170858, 485115.9344689], [114518.33544, 485116.072705], [114518.342, 485116.212], [114518.485, 485115.796], [114518.4954992, 485115.7765898], [114518.5055013, 485115.7569189], [114518.515, 485115.737], [114518.523832, 485115.7172102], [114518.5321671, 485115.6972061], [114518.54, 485115.677], [114518.858, 485114.67], [114518.8685381, 485114.6224002], [114518.8768773, 485114.5743664], [114518.883, 485114.526], [114518.8868729, 485114.4777596], [114518.8885407, 485114.4293926], [114518.888, 485114.381], [114519.398, 485112.877], [114520.211, 485110.476], [114520.1655641, 485110.5655643], [114520.1122069, 485110.6506479], [114520.0513668, 485110.730552], [114519.9835432, 485110.8046205], [114519.9092931, 485110.8722454], [114519.8292262, 485110.9328711], [114519.744, 485110.986], [114519.6542497, 485111.0312247], [114519.5607717, 485111.0681331], [114519.4643345, 485111.0964219], [114519.3657313, 485111.1158584], [114519.2657727, 485111.1262827], [114519.1652808, 485111.1276093], [114519.0650819, 485111.119827], [114518.966, 485111.103], [114518.022, 485110.819], [114516.176, 485110.262], [114515.874, 485110.171], [114515.7077127, 485110.1236355], [114515.5464241, 485110.0613389], [114515.391472, 485109.9846268], [114515.2441417, 485109.8941356], [114515.1056551, 485109.7906158], [114514.977161, 485109.674926], [114514.8597249, 485109.5480258], [114514.7543211, 485109.4109677], [114514.6618237, 485109.2648886], [114514.583, 485109.111], [114514.5231469, 485108.9636889], [114514.4758308, 485108.811886], [114514.4413836, 485108.6566561], [114514.4200469, 485108.499088], [114514.4119703, 485108.3402872], [114514.4172106, 485108.1813674], [114514.435731, 485108.0234436], [114514.4674015, 485107.8676234], [114514.512, 485107.715], [114523.743, 485078.955], [114539.692, 485029.265], [114558.612, 484970.21], [114561.086, 484962.764], [114562.704, 484957.963], [114564.654, 484952.056], [114564.6801222, 484952.0073162], [114564.7101532, 484951.9609413], [114564.7438901, 484951.9171886], [114564.7811053, 484951.8763533], [114564.8215473, 484951.8387112], [114564.8649432, 484951.8045165], [114564.911, 484951.774], [114564.963504, 484951.7453455], [114565.0183468, 484951.7214703], [114565.0750943, 484951.7025636], [114565.1332976, 484951.6887748], [114565.1924959, 484951.6802131], [114565.252221, 484951.6769462], [114565.312, 484951.679], [114561.109, 484950.249], [114561.2589899, 484950.7766573], [114561.3625842, 484951.3153477], [114561.419, 484951.861], [114561.427824, 484952.4090097], [114561.3890599, 484952.955718], [114561.303, 484953.497], [114559.157, 484960.167], [114473.429, 485226.99], [114473.3685466, 485227.1594022], [114473.2927695, 485227.3225266], [114473.202311, 485227.4779903], [114473.0979378, 485227.6244757], [114472.9805347, 485227.760741], [114472.8510969, 485227.8856312], [114472.7107214, 485227.9980877], [114472.5605983, 485228.0971572], [114472.402, 485228.182], [114472.2524887, 485228.2458387], [114472.0981874, 485228.2970257], [114471.9401645, 485228.3352064], [114471.7795143, 485228.3601165], [114471.6173492, 485228.3715835], [114471.4547922, 485228.369528], [114471.292969, 485228.3539643], [114471.133, 485228.325], [114468.298, 485227.421], [114468.202, 485227.69], [114461.328, 485225.459], [114460.544, 485225.205], [114460.69, 485224.737], [114460.303, 485224.611], [114459.516, 485227.046], [114459.499, 485227.1], [114470.147, 485230.554], [114470.314231, 485230.6115207], [114470.4757956, 485230.6834354], [114470.6304575, 485230.7691939], [114470.7770334, 485230.86814], [114470.9144018, 485230.9795167], [114471.0415115, 485231.1024717], [114471.1573901, 485231.2360643], [114471.2611509, 485231.3792723], [114471.352, 485231.531], [114471.433072, 485231.6989986], [114471.4983149, 485231.8737542], [114471.5471733, 485232.0537793], [114471.5792314, 485232.2375413], [114471.5942161, 485232.4234758], [114471.592, 485232.61], [114475.93, 485234.013], [114479.143, 485235.041], [114479.2227145, 485235.0676113], [114479.2999035, 485235.1008441], [114479.3740182, 485235.1404621], [114479.4445315, 485235.1861834], [114479.510942, 485235.237683], [114479.5727774, 485235.2945947], [114479.6295981, 485235.3565138], [114479.681, 485235.423], [114479.7279238, 485235.4958082], [114479.7683481, 485235.5724159], [114479.8019677, 485235.6522444], [114479.8285285, 485235.7346906], [114479.8478299, 485235.8191319], [114479.8597261, 485235.9049302], [114479.8641272, 485235.9914374], [114479.861, 485236.078], [114481.463, 485231.107]]",114459.499,485236.078,114565.312,484950.249
