bgt_name,polygon,x_min,y_max,x_max,y_min
rijbaan_lokale_weg,"[[114655.642, 485099.86], [114661.87, 485080.632], [114665.074, 485070.621], [114665.428, 485069.528], [114668.955, 485058.652], [114672.185, 485048.659], [114673.831, 485043.562], [114674.594, 485041.199], [114676.898, 485034.067], [114678.584, 485028.848], [114690.902, 484990.652], [114685.16, 484988.818], [114682.631, 484996.582], [114682.6282001, 484996.6044108], [114682.6248661, 484996.6267484], [114682.621, 484996.649], [114682.6165408, 484996.6714521], [114682.6115398, 484996.6937898], [114682.606, 484996.716], [114682.255, 484997.818], [114680.755, 485002.435], [114680.362, 485003.746], [114672.863, 485026.956], [114671.164, 485032.236], [114670.477, 485034.369], [114669.957, 485035.987], [114668.844, 485039.443], [114668.114, 485041.711], [114666.443, 485046.9], [114658.994, 485069.956], [114656.14, 485078.791], [114649.904, 485098.031], [114639.727, 485129.679], [114645.458, 485131.486], [114655.642, 485099.86]]",114639.727,485131.486,114690.902,484988.818
parkeervlak,"[[114645.458, 485131.486], [114649.154, 485132.668], [114649.2043856, 485132.6808698], [114649.2557194, 485132.6891868], [114649.3075911, 485132.6928845], [114649.3595856, 485132.6919333], [114649.4112873, 485132.6863408], [114649.4622826, 485132.6761518], [114649.5121638, 485132.6614478], [114649.5605318, 485132.6423462], [114649.607, 485132.619], [114649.651336, 485132.5915005], [114649.6930288, 485132.560138], [114649.7317429, 485132.5251649], [114649.7671667, 485132.4868627], [114649.799015, 485132.4455398], [114649.8270316, 485132.4015287], [114649.8509908, 485132.3551837], [114649.8706998, 485132.3068779], [114649.886, 485132.257], [114656.691, 485111.198], [114659.72, 485101.716], [114659.7315245, 485101.6676619], [114659.7386775, 485101.6184865], [114659.7414015, 485101.5688683], [114659.7396748, 485101.5192055], [114659.7335112, 485101.4698963], [114659.72296, 485101.4213365], [114659.7081061, 485101.3739155], [114659.6890685, 485101.328014], [114659.666, 485101.284], [114659.6408989, 485101.2447975], [114659.6125998, 485101.2078372], [114659.5813019, 485101.1733794], [114659.5472255, 485101.1416666], [114659.5106106, 485101.1129221], [114659.4717148, 485101.0873482], [114659.4308121, 485101.0651251], [114659.3881903, 485101.0464091], [114659.3441496, 485101.031332], [114659.299, 485101.02], [114655.642, 485099.86], [114645.458, 485131.486]]",114645.458,485132.6928845,114659.7414015,485099.86
parkeervlak,"[[114673.39, 485059.485], [114676.235, 485050.531], [114676.2479536, 485050.4783403], [114676.2561592, 485050.4247351], [114676.2595517, 485050.3706118], [114676.2581038, 485050.3164016], [114676.2518271, 485050.2625365], [114676.2407717, 485050.2094458], [114676.2250257, 485050.1575526], [114676.2047145, 485050.1072705], [114676.18, 485050.059], [114676.1500284, 485050.0116182], [114676.1158161, 485049.9672014], [114676.0776545, 485049.926128], [114676.0358687, 485049.8887477], [114675.9908147, 485049.8553791], [114675.9428762, 485049.8263063], [114675.8924615, 485049.8017769], [114675.84, 485049.782], [114674.556, 485049.387], [114672.185, 485048.659], [114668.955, 485058.652], [114670.47, 485059.144], [114672.638, 485059.849], [114672.6869827, 485059.8640786], [114672.7370952, 485059.8748214], [114672.7879545, 485059.8811462], [114672.8391719, 485059.8830048], [114672.8903558, 485059.8803829], [114672.9411151, 485059.8733006], [114672.9910619, 485059.8618119], [114673.0398144, 485059.8460048], [114673.087, 485059.826], [114673.1329408, 485059.8015478], [114673.1765319, 485059.7731175], [114673.2174298, 485059.7409332], [114673.2553122, 485059.7052487], [114673.2898806, 485059.666345], [114673.3208625, 485059.6245288], [114673.3480137, 485059.5801297], [114673.3711202, 485059.5334976], [114673.39, 485059.485]]",114668.955,485059.8830048,114676.2595517,485048.659
parkeervlak,"[[114661.87, 485080.632], [114665.563, 485081.833], [114665.607417, 485081.8494214], [114665.6531102, 485081.8618577], [114665.6997229, 485081.8702117], [114665.7468911, 485081.8744184], [114665.7942465, 485081.8744447], [114665.8414193, 485081.8702905], [114665.8880413, 485081.8619882], [114665.9337483, 485081.8496027], [114665.9781835, 485081.8332307], [114666.021, 485081.813], [114666.0618786, 485081.7890587], [114666.1004832, 485081.761601], [114666.1365122, 485081.7308413], [114666.169684, 485081.69702], [114666.1997394, 485081.6604015], [114666.2264436, 485081.6212718], [114666.2495878, 485081.5799367], [114666.2689913, 485081.5367192], [114666.2845025, 485081.4919571], [114666.296, 485081.446], [114669.174, 485072.517], [114669.1871184, 485072.4674758], [114669.1956828, 485072.4169646], [114669.1996224, 485072.3658841], [114669.1989047, 485072.314657], [114669.1935355, 485072.2637069], [114669.1835593, 485072.2134555], [114669.1690586, 485072.1643183], [114669.1501534, 485072.1167018], [114669.127, 485072.071], [114669.1022742, 485072.0312104], [114669.0743277, 485071.993613], [114669.0433537, 485071.9584677], [114669.0095664, 485071.9260178], [114668.9731996, 485071.8964876], [114668.9345048, 485071.8700815], [114668.8937496, 485071.8469819], [114668.8512159, 485071.8273488], [114668.8071979, 485071.8113179], [114668.762, 485071.799], [114665.074, 485070.621], [114661.87, 485080.632]]",114661.87,485081.8744447,114669.1996224,485070.621
parkeervlak,"[[114656.14, 485078.791], [114658.994, 485069.956], [114666.443, 485046.9], [114662.679, 485045.749], [114662.6215689, 485045.7345271], [114662.5630498, 485045.7253996], [114662.503939, 485045.7216949], [114662.4447382, 485045.7234445], [114662.3859495, 485045.7306335], [114662.3280715, 485045.7432009], [114662.2715953, 485045.7610402], [114662.217, 485045.784], [114662.1700557, 485045.8087653], [114662.1253137, 485045.8373177], [114662.0830787, 485045.8694626], [114662.0436386, 485045.9049811], [114662.007262, 485045.9436312], [114661.9741968, 485045.9851496], [114661.9446682, 485046.0292535], [114661.9188773, 485046.0756423], [114661.897, 485046.124], [114655.655, 485065.431], [114654.097, 485070.282], [114652.009, 485076.786], [114651.9924792, 485076.8365585], [114651.98033, 485076.8883416], [114651.9726409, 485076.9409721], [114651.969468, 485076.9940666], [114651.9708343, 485077.0472383], [114651.9767299, 485077.1000997], [114651.9871118, 485077.1522659], [114652.0019044, 485077.2033567], [114652.021, 485077.253], [114652.0444769, 485077.3012363], [114652.0720154, 485077.3472747], [114652.1034115, 485077.3907739], [114652.1384326, 485077.4314117], [114652.176819, 485077.4688869], [114652.2182863, 485077.5029217], [114652.2625271, 485077.5332638], [114652.3092137, 485077.5596886], [114652.358, 485077.582], [114656.14, 485078.791]]",114651.969468,485078.791,114666.443,485045.7216949
