bgt_name,polygon,x_min,y_max,x_max,y_min
rijbaan_lokale_weg,"[[114765.487, 485103.258], [114769.858, 485089.717], [114772.706, 485080.783], [114774.295, 485075.834], [114777.329, 485066.384], [114779.076, 485060.941], [114791.392, 485022.741], [114785.657, 485020.905], [114783.833, 485026.165], [114783.8458982, 485026.2403797], [114783.8529123, 485026.3165325], [114783.854, 485026.393], [114783.8491791, 485026.4690843], [114783.8384911, 485026.5445682], [114783.822, 485026.619], [114779.994, 485038.411], [114779.9506405, 485038.4885525], [114779.901201, 485038.5623777], [114779.846, 485038.632], [114779.7855224, 485038.696843], [114779.7200491, 485038.7566375], [114779.65, 485038.811], [114774.169, 485056.45], [114773.02, 485060.035], [114770.932, 485066.543], [114769.847, 485069.928], [114769.283, 485071.711], [114767.018, 485078.884], [114756.569, 485111.383], [114755.016, 485116.198], [114751.961, 485125.72], [114750.479, 485130.271], [114739.953, 485162.78], [114745.695, 485164.597], [114756.23, 485132.104], [114757.668, 485127.628], [114760.706, 485118.167], [114762.301, 485113.265], [114765.487, 485103.258]]",114739.953,485164.597,114791.392,485020.905
rijbaan_lokale_weg,"[[114797.568, 485013.302], [114785.001, 485009.272], [114784.767, 485010.024], [114786.202, 485013.446], [114795.062, 485016.296], [114797.339, 485014.072], [114797.568, 485013.302]]",114784.767,485016.296,114797.568,485009.272
rijbaan_lokale_weg,"[[114798.344, 485009.538], [114703.959, 484979.168], [114703.421, 484978.995], [114703.3160735, 484978.9541172], [114703.2142426, 484978.9060397], [114703.116, 484978.851], [114703.0526764, 484978.8105305], [114702.991299, 484978.767166], [114702.932, 484978.721], [114699.674, 484975.772], [114693.569, 484973.801], [114691.813, 484979.284], [114698.204, 484981.331], [114702.481, 484982.699], [114706.844, 484984.094], [114784.306, 485009.059], [114785.001, 485009.272], [114797.568, 485013.302], [114802.392, 485014.883], [114803.843, 485015.324], [114809.858, 485017.269], [114851.253, 485030.594], [114852.444, 485026.946], [114805.011, 485011.666], [114803.561, 485011.223], [114798.344, 485009.538]]",114691.813,485030.594,114852.444,484973.801
rijbaan_lokale_weg,"[[114791.392, 485022.741], [114791.647, 485022.031], [114791.809, 485022.083], [114793.079, 485018.135], [114787.004, 485016.18], [114785.73, 485020.139], [114785.891, 485020.192], [114785.657, 485020.905], [114791.392, 485022.741]]",114785.657,485022.741,114793.079,485016.18
rijbaan_lokale_weg,"[[114795.062, 485016.296], [114786.202, 485013.446], [114787.004, 485016.18], [114793.079, 485018.135], [114795.062, 485016.296]]",114786.202,485018.135,114795.062,485013.446
parkeervlak,"[[114783.833, 485026.165], [114785.657, 485020.905], [114782.235, 485019.804], [114782.1504929, 485019.7799699], [114782.0641937, 485019.7634968], [114781.976777, 485019.7547095], [114781.8889258, 485019.7536766], [114781.8013266, 485019.7604062], [114781.7146641, 485019.7748458], [114781.6296153, 485019.7968824], [114781.546845, 485019.8263439], [114781.467, 485019.863], [114781.3913928, 485019.9061301], [114781.3198493, 485019.9557103], [114781.2529183, 485020.0113602], [114781.1911133, 485020.0726529], [114781.1349084, 485020.1391184], [114781.0847346, 485020.2102468], [114781.0409768, 485020.2854925], [114781.0039706, 485020.3642784], [114780.974, 485020.446], [114780.057, 485023.325], [114780.0336672, 485023.4107663], [114780.0177846, 485023.4982192], [114780.0094695, 485023.5867129], [114780.0087832, 485023.6755937], [114780.0157309, 485023.7642053], [114780.0302612, 485023.851893], [114780.0522669, 485023.9380094], [114780.0815853, 485024.0219183], [114780.118, 485024.103], [114780.1607313, 485024.1798238], [114780.2098322, 485024.2527413], [114780.2649479, 485024.3212258], [114780.3256803, 485024.3847823], [114780.3915906, 485024.4429518], [114780.4622026, 485024.4953141], [114780.5370062, 485024.5414908], [114780.6154609, 485024.5811482], [114780.697, 485024.614], [114783.078, 485025.391], [114783.1566623, 485025.4127389], [114783.2332983, 485025.4407973], [114783.3074012, 485025.4749895], [114783.378481, 485025.5150895], [114783.4460676, 485025.5608321], [114783.5097143, 485025.6119149], [114783.569, 485025.668], [114783.6234398, 485025.7286042], [114783.6727849, 485025.793424], [114783.7167103, 485025.8620324], [114783.7549265, 485025.9339774], [114783.7871818, 485026.0087848], [114783.8132636, 485026.0859619], [114783.833, 485026.165]]",114780.0087832,485026.165,114785.657,485019.7536766
parkeervlak,"[[114774.169, 485056.45], [114779.65, 485038.811], [114779.564164, 485038.8670475], [114779.4735753, 485038.9150355], [114779.3789887, 485038.9545642], [114779.2811921, 485038.9853044], [114779.181, 485039.007], [114779.0791167, 485039.0194802], [114778.9765196, 485039.0226073], [114778.8740654, 485039.0163552], [114778.7726098, 485039.000776], [114778.673, 485038.976], [114776.284, 485038.226], [114776.2028988, 485038.2026529], [114776.1200792, 485038.1864236], [114776.0361645, 485038.1774341], [114775.9517864, 485038.1757521], [114775.8675801, 485038.1813904], [114775.7841795, 485038.1943064], [114775.7022123, 485038.214403], [114775.6222956, 485038.2415288], [114775.545031, 485038.2754796], [114775.471, 485038.316], [114775.4007408, 485038.3627988], [114775.3348038, 485038.4155132], [114775.2736857, 485038.4737461], [114775.2178468, 485038.5370588], [114775.1677076, 485038.6049746], [114775.1236458, 485038.6769819], [114775.0859933, 485038.7525383], [114775.0550336, 485038.8310749], [114775.031, 485038.912], [114771.035, 485051.287], [114770.303, 485053.202], [114770.2940293, 485053.3023171], [114770.2934361, 485053.4030327], [114770.3012246, 485053.5034485], [114770.3173408, 485053.6028681], [114770.3416729, 485053.7006022], [114770.3740522, 485053.7959729], [114770.4142542, 485053.888319], [114770.462, 485053.977], [114770.5224743, 485054.0690823], [114770.5910763, 485054.1552801], [114770.6672368, 485054.2348783], [114770.750324, 485054.3072165], [114770.8396486, 485054.3716945], [114770.9344695, 485054.4277774], [114771.034, 485054.475], [114773.435, 485055.215], [114773.5232334, 485055.2514671], [114773.6080926, 485055.2952153], [114773.6889781, 485055.3459354], [114773.7653184, 485055.4032692], [114773.836574, 485055.4668114], [114773.9022417, 485055.5361133], [114773.9618574, 485055.6106851], [114774.015, 485055.69], [114774.0628199, 485055.7765569], [114774.10293, 485055.8669451], [114774.1350262, 485055.9604794], [114774.1588652, 485056.056451], [114774.1742664, 485056.1541323], [114774.181113, 485056.2527831], [114774.1793531, 485056.3516554], [114774.169, 485056.45]]",114770.2934361,485056.45,114779.65,485038.1757521
parkeervlak,"[[114779.076, 485060.941], [114782.534, 485062.017], [114782.6084782, 485062.0439523], [114782.684981, 485062.0644645], [114782.7629526, 485062.0783876], [114782.8418266, 485062.0856204], [114782.9210301, 485062.0861104], [114782.9999876, 485062.0798541], [114783.0781255, 485062.0668969], [114783.1548762, 485062.0473329], [114783.2296822, 485062.0213042], [114783.302, 485061.989], [114783.3712937, 485061.9506613], [114783.4370716, 485061.906562], [114783.4988559, 485061.8570224], [114783.556198, 485061.8024023], [114783.6086814, 485061.7430982], [114783.655925, 485061.679541], [114783.6975857, 485061.6121922], [114783.7333608, 485061.5415408], [114783.7629907, 485061.4681], [114783.7862601, 485061.3924032], [114783.803, 485061.315], [114790.209, 485041.367], [114795.478, 485024.978], [114795.4940942, 485024.8871861], [114795.5016664, 485024.7952686], [114795.5006508, 485024.7030452], [114795.4910564, 485024.6113166], [114795.4729664, 485024.5208792], [114795.4465378, 485024.432518], [114795.412, 485024.347], [114795.3717898, 485024.268787], [114795.3247964, 485024.1944516], [114795.2713908, 485024.1245804], [114795.2119945, 485024.0597251], [114795.1470763, 485024.0003974], [114795.0771488, 485023.9470657], [114795.0027637, 485023.900151], [114794.9245082, 485023.8600235], [114794.843, 485023.827], [114791.392, 485022.741], [114779.076, 485060.941]]",114779.076,485062.0861104,114795.5016664,485022.741
parkeervlak,"[[114784.306, 485009.059], [114706.844, 484984.094], [114706.9028975, 484984.1174107], [114706.9594824, 484984.1459611], [114707.0133073, 484984.1794253], [114707.0639467, 484984.2175387], [114707.111, 484984.26], [114707.1554891, 484984.3081225], [114707.1953699, 484984.360128], [114707.2303053, 484984.4155767], [114707.26, 484984.474], [114708.135, 484986.291], [114708.1525869, 484986.3396759], [114708.1741411, 484986.3867298], [114708.1995149, 484986.4318387], [114708.2285342, 484986.4746934], [114708.261, 484986.515], [114708.2973826, 484986.5531509], [114708.3368511, 484986.5880997], [114708.3791247, 484986.6195977], [114708.4239026, 484986.6474209], [114708.4708661, 484986.6713711], [114708.519681, 484986.691278], [114708.57, 484986.707], [114751.423, 485000.468], [114783.217, 485010.691], [114783.637, 485009.402], [114783.6584712, 485009.3556124], [114783.6839554, 485009.3113023], [114783.7132535, 485009.2694162], [114783.7461364, 485009.2302813], [114783.7823472, 485009.1942035], [114783.8216028, 485009.1614648], [114783.8635965, 485009.132321], [114783.908, 485009.107], [114783.9545036, 485009.0856845], [114784.0027093, 485009.0685627], [114784.0522396, 485009.0557688], [114784.1027069, 485009.0474029], [114784.1537161, 485009.0435305], [114784.204868, 485009.0441818], [114784.2557621, 485009.0493518], [114784.306, 485009.059]]",114706.844,485010.691,114784.306,484984.094
fietspad,"[[114731.241, 484998.237], [114780.316, 485014.028], [114787.004, 485016.18], [114786.202, 485013.446], [114736.427, 484997.441], [114731.962, 484996.002], [114731.241, 484998.237]]",114731.241,485016.18,114787.004,484996.002
