bgt_name,polygon,x_min,y_max,x_max,y_min
rijbaan_lokale_weg,"[[114714.958, 484915.959], [114730.293, 484868.132], [114730.593, 484867.581], [114730.592851, 484867.5201428], [114730.5965225, 484867.4593963], [114730.604, 484867.399], [114730.6152755, 484867.3390946], [114730.6302953, 484867.2800167], [114730.649, 484867.222], [114730.719, 484867.019], [114730.909, 484866.364], [114731.728, 484863.85], [114732.347, 484861.908], [114732.696, 484860.836], [114733.041, 484859.662], [114749.895, 484807.673], [114749.8906626, 484807.5908719], [114749.8933357, 484807.5086728], [114749.903, 484807.427], [114749.9195878, 484807.3464365], [114749.9429778, 484807.2675788], [114749.973, 484807.191], [114751.607, 484802.127], [114751.8090901, 484801.686291], [114752.0494854, 484801.2652508], [114752.3262898, 484800.8672004], [114752.6373198, 484800.4952795], [114752.9801222, 484800.1524219], [114753.3519928, 484799.8413319], [114753.7499986, 484799.5644633], [114754.171, 484799.324], [114754.6109777, 484799.1221225], [114755.0671096, 484798.9600156], [114755.5358088, 484798.8389539], [114756.0133899, 484798.7598894], [114756.4960975, 484798.7234438], [114756.9801359, 484798.7299038], [114757.461699, 484798.7792184], [114757.937, 484798.871], [114757.999, 484798.886], [114758.563, 484799.071], [114763.659, 484800.743], [114763.85, 484800.805], [114763.903066, 484800.8297424], [114763.9544674, 484800.8577796], [114764.004, 484800.889], [114764.0516689, 484800.9234355], [114764.0970629, 484800.9608188], [114764.14, 484801.001], [114776.868, 484805.049], [114779.138, 484805.771], [114779.1671848, 484805.7748858], [114779.196199, 484805.7798882], [114779.225, 484805.786], [114779.2536473, 484805.79324], [114779.2819946, 484805.8015774], [114779.31, 484805.811], [114796.075, 484811.186], [114797.852, 484805.642], [114790.202, 484803.195], [114779.132, 484799.644], [114777.642, 484799.166], [114765.211, 484795.18], [114758.274, 484792.968], [114758.0342713, 484792.8592476], [114757.8044081, 484792.7309518], [114757.586, 484792.584], [114757.3773227, 484792.4165843], [114757.1835279, 484792.2321451], [114757.006, 484792.032], [114756.6, 484791.576], [114749.17, 484789.511], [114749.1603204, 484789.734886], [114749.1399717, 484789.9580554], [114749.109, 484790.18], [114749.067436, 484790.4004017], [114749.0153965, 484790.6185675], [114748.953, 484790.834], [114746.113, 484799.584], [114744.229, 484805.388], [114744.2113161, 484805.4458591], [114744.1902923, 484805.5025899], [114744.166, 484805.558], [114744.1384137, 484805.6120983], [114744.1077121, 484805.6644914], [114744.074, 484805.715], [114727.347, 484857.82], [114727.08, 484858.608], [114726.964, 484858.949], [114724.975, 484865.147], [114709.226, 484913.974], [114709.2202425, 484914.0247373], [114709.2119019, 484914.0751144], [114709.201, 484914.125], [114709.1875044, 484914.1744664], [114709.1714903, 484914.2231757], [114709.153, 484914.271], [114708.791, 484915.387], [114705.207, 484926.56], [114703.21, 484932.831], [114703.1870943, 484932.9029131], [114703.1586726, 484932.9728299], [114703.1249065, 484933.0403282], [114703.086, 484933.105], [114703.0421674, 484933.1664817], [114702.99369, 484933.2243717], [114702.9408611, 484933.2783198], [114702.884, 484933.328], [114697.289, 484951.734], [114702.703, 484953.447], [114708.89, 484934.838], [114708.8939898, 484934.8185907], [114708.8983236, 484934.7992554], [114708.903, 484934.78], [114708.907997, 484934.7609067], [114708.9133309, 484934.7419047], [114708.919, 484934.723], [114710.962, 484928.389], [114714.521, 484917.26], [114714.958, 484915.959]]",114697.289,484953.447,114797.852,484789.511
rijbaan_lokale_weg,"[[114671.868, 484953.671], [114641.656, 484943.93], [114639.6, 484943.267], [114623.177, 484937.982], [114609.814, 484933.729], [114604.217, 484931.847], [114602.94, 484936.194], [114602.9618427, 484936.1504518], [114602.987598, 484936.109097], [114603.0170474, 484936.0702862], [114603.0499414, 484936.0343482], [114603.0860011, 484936.0015878], [114603.124921, 484935.9722826], [114603.166371, 484935.946681], [114603.21, 484935.925], [114603.2546011, 484935.9077043], [114603.300582, 484935.8945072], [114603.3475667, 484935.8855163], [114603.3951714, 484935.8808053], [114603.443007, 484935.8804126], [114603.4906827, 484935.8843414], [114603.5378087, 484935.8925596], [114603.584, 484935.905], [114604.0903783, 484935.9991301], [114604.595093, 484936.1018065], [114605.098, 484936.213], [114605.4500286, 484936.2961641], [114605.8010451, 484936.3835015], [114606.151, 484936.475], [114606.534, 484936.579], [114608.428, 484937.184], [114610.358, 484937.764], [114670.352, 484957.091], [114674.114, 484958.297], [114679.862, 484960.122], [114679.9077719, 484960.140962], [114679.9518058, 484960.1636696], [114679.9937959, 484960.1899652], [114680.0334506, 484960.2196659], [114680.0704942, 484960.2525656], [114680.1046697, 484960.2884357], [114680.1357395, 484960.327027], [114680.1634878, 484960.3680715], [114680.187722, 484960.4112842], [114680.2082736, 484960.4563647], [114680.225, 484960.503], [114680.2384477, 484960.5538766], [114680.2473434, 484960.6057431], [114680.2516173, 484960.6581931], [114680.2512358, 484960.7108156], [114680.2462021, 484960.7631982], [114680.2365555, 484960.8149303], [114680.2223717, 484960.8656066], [114680.2037618, 484960.91483], [114680.1808716, 484960.9622147], [114680.1538805, 484961.0073894], [114680.123, 484961.05], [114680.0873279, 484961.0919511], [114680.0479429, 484961.1304376], [114680.0051798, 484961.1651322], [114679.9594024, 484961.1957398], [114679.911, 484961.222], [114679.8659084, 484961.2415871], [114679.8193583, 484961.2573986], [114679.7716653, 484961.2693271], [114679.7231527, 484961.2772918], [114679.6741493, 484961.2812388], [114679.6249873, 484961.2811413], [114679.576, 484961.277], [114673.487, 484960.164], [114669.653, 484959.474], [114695.602, 484967.807], [114697.363, 484962.333], [114691.259, 484960.376], [114685.041, 484958.212], [114675.283, 484954.815], [114673.64, 484954.243], [114671.868, 484953.671]]",114602.94,484967.807,114697.363,484931.847
parkeervlak,"[[114697.289, 484951.734], [114702.884, 484933.328], [114702.827473, 484933.3705651], [114702.7680376, 484933.4089644], [114702.706, 484933.443], [114702.6295549, 484933.4774441], [114702.5504587, 484933.5052657], [114702.4692839, 484933.5262633], [114702.3866181, 484933.5402849], [114702.3030595, 484933.5472292], [114702.2192132, 484933.5470457], [114702.1356858, 484933.5397359], [114702.0530821, 484933.5253526], [114701.972, 484933.504], [114699.429, 484932.68], [114699.3449013, 484932.6570815], [114699.2591016, 484932.641711], [114699.1722769, 484932.6340096], [114699.0851113, 484932.6340379], [114698.9982917, 484932.6417958], [114698.912502, 484932.657222], [114698.8284182, 484932.6801952], [114698.746703, 484932.7105342], [114698.668, 484932.748], [114698.5911783, 484932.7934411], [114698.5187999, 484932.8456699], [114698.4514628, 484932.9042549], [114698.3897233, 484932.968712], [114698.3340916, 484933.0385087], [114698.2850271, 484933.1130685], [114698.2429353, 484933.1917752], [114698.2081638, 484933.2739788], [114698.181, 484933.359], [114692.965, 484949.66], [114692.9768864, 484949.7574969], [114692.9975335, 484949.853521], [114693.0267723, 484949.9472869], [114693.0643636, 484950.0380273], [114693.11, 484950.125], [114693.1615693, 484950.2050454], [114693.2199524, 484950.2802655], [114693.2847003, 484950.3500822], [114693.3553152, 484950.4139585], [114693.4312543, 484950.4714034], [114693.5119336, 484950.5219752], [114693.5967328, 484950.5652851], [114693.685, 484950.601], [114697.289, 484951.734]]",114692.965,484951.734,114702.884,484932.6340096
fietspad,"[[114639.292, 484941.376], [114642.178, 484942.302], [114672.481, 484952.027], [114675.913, 484953.129], [114676.967, 484953.467], [114686.027, 484955.378], [114689.936, 484956.202], [114691.765, 484956.729], [114693.973, 484957.431], [114696.061, 484955.582], [114692.361, 484954.402], [114690.41, 484953.854], [114689.439, 484953.621], [114687.806, 484953.278], [114677.703, 484951.158], [114676.754, 484950.875], [114672.943, 484949.644], [114641.496, 484939.57], [114638.782, 484938.685], [114639.292, 484941.376]]",114638.782,484957.431,114696.061,484938.685
