bgt_name,polygon,x_min,y_max,x_max,y_min
rijbaan_lokale_weg,"[[114881.887, 485021.72], [114810.016, 484998.575], [114809.146, 484998.295], [114807.684, 484997.814], [114803.267, 484996.386], [114796.807, 484994.295], [114795.623, 484997.945], [114801.563, 484999.857], [114806.621, 485001.452], [114808.05, 485001.945], [114818.03, 485005.142], [114896.69, 485030.505], [114897.863, 485026.867], [114891.547, 485024.837], [114881.887, 485021.72]]",114795.623,485030.505,114897.863,484994.295
rijbaan_lokale_weg,"[[114798.344, 485009.538], [114703.959, 484979.168], [114703.421, 484978.995], [114703.3160735, 484978.9541172], [114703.2142426, 484978.9060397], [114703.116, 484978.851], [114703.0526764, 484978.8105305], [114702.991299, 484978.767166], [114702.932, 484978.721], [114699.674, 484975.772], [114693.569, 484973.801], [114691.813, 484979.284], [114698.204, 484981.331], [114702.481, 484982.699], [114706.844, 484984.094], [114784.306, 485009.059], [114785.001, 485009.272], [114797.568, 485013.302], [114802.392, 485014.883], [114803.843, 485015.324], [114809.858, 485017.269], [114851.253, 485030.594], [114852.444, 485026.946], [114805.011, 485011.666], [114803.561, 485011.223], [114798.344, 485009.538]]",114691.813,485030.594,114852.444,484973.801
parkeervlak,"[[114851.253, 485030.594], [114809.858, 485017.269], [114809.9401418, 485017.3119534], [114810.0183309, 485017.3617405], [114810.092, 485017.418], [114810.1578865, 485017.4776344], [114810.2186882, 485017.5424451], [114810.274, 485017.612], [114811.143, 485019.455], [114811.1724916, 485019.5061977], [114811.2063067, 485019.5546487], [114811.244191, 485019.5999889], [114811.2858598, 485019.6418776], [114811.331, 485019.68], [114811.3814909, 485019.7154894], [114811.4349851, 485019.7462659], [114811.491044, 485019.7720772], [114811.5492079, 485019.7927116], [114811.609, 485019.808], [114814.471, 485020.719], [114884.31, 485043.252], [114884.735, 485042.016], [114884.7568869, 485041.9647804], [114884.7831097, 485041.9156393], [114884.8134728, 485041.8689429], [114884.8477501, 485041.825039], [114884.8856861, 485041.784255], [114884.9269981, 485041.7468946], [114884.9713783, 485041.7132364], [114885.018496, 485041.683531], [114885.068, 485041.658], [114885.120954, 485041.6363179], [114885.1756206, 485041.6194126], [114885.23157, 485041.6074168], [114885.2883621, 485041.600425], [114885.3455504, 485041.5984922], [114885.402685, 485041.6016335], [114885.4593167, 485041.6098242], [114885.515, 485041.623], [114851.253, 485030.594]]",114809.858,485043.252,114885.515,485017.269
parkeervlak,"[[114881.887, 485021.72], [114881.8480192, 485021.6962405], [114881.8112591, 485021.6691717], [114881.777, 485021.639], [114881.7448594, 485021.6052169], [114881.715856, 485021.568705], [114881.6902206, 485021.5297545], [114881.6681568, 485021.4886753], [114881.6498402, 485021.4457939], [114881.6354163, 485021.4014512], [114881.625, 485021.356], [114880.735, 485019.547], [114880.6714051, 485019.4804453], [114880.602585, 485019.419309], [114880.529, 485019.364], [114880.4447614, 485019.3112467], [114880.3561979, 485019.2661295], [114880.264, 485019.229], [114811.227, 484996.973], [114810.833, 484998.202], [114810.8030672, 484998.2565859], [114810.7684677, 484998.3083397], [114810.7294676, 484998.3568636], [114810.6863666, 484998.4017845], [114810.6394961, 484998.4427571], [114810.5892166, 484998.4794662], [114810.5359146, 484998.5116296], [114810.48, 484998.539], [114810.4247491, 484998.5604055], [114810.3679057, 484998.5771294], [114810.3098658, 484998.5890551], [114810.2510336, 484998.5960996], [114810.1918188, 484998.5982139], [114810.132634, 484998.5953832], [114810.0738914, 484998.5876272], [114810.016, 484998.575], [114881.887, 485021.72]]",114810.016,485021.72,114881.887,484996.973
fietspad,"[[114886.821, 485045.866], [114811.865, 485021.688], [114799.999, 485017.883], [114795.062, 485016.296], [114793.079, 485018.135], [114802.437, 485021.147], [114887.694, 485048.609], [114886.821, 485045.866]]",114793.079,485048.609,114887.694,485016.296
fietspad,"[[114895.75, 485019.868], [114894.948, 485019.604], [114813.786, 484993.498], [114807.498, 484991.475], [114803.613, 484990.232], [114803.637, 484992.725], [114813.142, 484995.838], [114893.329, 485021.634], [114895.75, 485019.868]]",114803.613,485021.634,114895.75,484990.232
