bgt_name,polygon,x_min,y_max,x_max,y_min
rijbaan_lokale_weg,"[[114803.267, 484996.386], [114803.502, 484995.619], [114803.665, 484995.669], [114803.637, 484992.725], [114792.725, 484989.219], [114790.765, 484991.508], [114790.927, 484991.56], [114790.678, 484992.311], [114796.807, 484994.295], [114803.267, 484996.386]]",114790.678,484996.386,114803.665,484989.219
rijbaan_lokale_weg,"[[114881.887, 485021.72], [114810.016, 484998.575], [114809.146, 484998.295], [114807.684, 484997.814], [114803.267, 484996.386], [114796.807, 484994.295], [114795.623, 484997.945], [114801.563, 484999.857], [114806.621, 485001.452], [114808.05, 485001.945], [114818.03, 485005.142], [114896.69, 485030.505], [114897.863, 485026.867], [114891.547, 485024.837], [114881.887, 485021.72]]",114795.623,485030.505,114897.863,484994.295
rijbaan_lokale_weg,"[[114803.613, 484990.232], [114794.396, 484987.269], [114792.725, 484989.219], [114803.637, 484992.725], [114803.613, 484990.232]]",114792.725,484992.725,114803.637,484987.269
rijbaan_lokale_weg,"[[114830.423, 484901.558], [114834.345, 484889.32], [114850.408, 484839.46], [114850.402615, 484839.3870485], [114850.402949, 484839.3138993], [114850.409, 484839.241], [114850.4207478, 484839.1687135], [114850.4381166, 484839.097568], [114850.461, 484839.028], [114851.549, 484835.577], [114851.6911992, 484835.0707021], [114851.8766839, 484834.578611], [114852.1040619, 484834.1044197], [114852.3716271, 484833.6516868], [114852.6773712, 484833.2238099], [114853.019, 484832.824], [114853.3660639, 484832.4805577], [114853.7396067, 484832.1661189], [114854.1372116, 484831.8827176], [114854.5563066, 484831.6321874], [114854.9941803, 484831.416149], [114855.448, 484831.236], [114855.8294891, 484831.1434086], [114856.2171124, 484831.0813172], [114856.6084352, 484831.0501156], [114857.001, 484831.05], [114857.0874279, 484831.0541582], [114857.17377, 484831.0598255], [114857.26, 484831.067], [114844.537, 484826.789], [114844.8668988, 484826.9928781], [114845.1772017, 484827.2254971], [114845.4654122, 484827.4849855], [114845.7292114, 484827.7692556], [114845.9664769, 484828.0760203], [114846.1752998, 484828.4028115], [114846.354, 484828.747], [114846.5024357, 484829.1094356], [114846.6174648, 484829.4838164], [114846.6981435, 484829.8670705], [114846.7438097, 484830.2560529], [114846.7540888, 484830.6475717], [114846.7288964, 484831.0384145], [114846.6684392, 484831.425374], [114846.5732132, 484831.8052749], [114846.444, 484832.175], [114844.745, 484837.471], [114844.733, 484837.506], [114828.643, 484887.526], [114824.714, 484899.743], [114797.889, 484983.019], [114803.615, 484984.861], [114808.72, 484969.148], [114811.761, 484959.771], [114815.291, 484948.757], [114816.69, 484944.412], [114830.423, 484901.558]]",114797.889,484984.861,114857.26,484826.789
rijbaan_lokale_weg,"[[114803.613, 484990.232], [114803.57, 484985.627], [114803.407, 484985.58], [114803.615, 484984.861], [114797.889, 484983.019], [114797.644, 484983.719], [114797.484, 484983.663], [114794.396, 484987.269], [114803.613, 484990.232]]",114794.396,484990.232,114803.615,484983.019
parkeervlak,"[[114881.887, 485021.72], [114881.8480192, 485021.6962405], [114881.8112591, 485021.6691717], [114881.777, 485021.639], [114881.7448594, 485021.6052169], [114881.715856, 485021.568705], [114881.6902206, 485021.5297545], [114881.6681568, 485021.4886753], [114881.6498402, 485021.4457939], [114881.6354163, 485021.4014512], [114881.625, 485021.356], [114880.735, 485019.547], [114880.6714051, 485019.4804453], [114880.602585, 485019.419309], [114880.529, 485019.364], [114880.4447614, 485019.3112467], [114880.3561979, 485019.2661295], [114880.264, 485019.229], [114811.227, 484996.973], [114810.833, 484998.202], [114810.8030672, 484998.2565859], [114810.7684677, 484998.3083397], [114810.7294676, 484998.3568636], [114810.6863666, 484998.4017845], [114810.6394961, 484998.4427571], [114810.5892166, 484998.4794662], [114810.5359146, 484998.5116296], [114810.48, 484998.539], [114810.4247491, 484998.5604055], [114810.3679057, 484998.5771294], [114810.3098658, 484998.5890551], [114810.2510336, 484998.5960996], [114810.1918188, 484998.5982139], [114810.132634, 484998.5953832], [114810.0738914, 484998.5876272], [114810.016, 484998.575], [114881.887, 485021.72]]",114810.016,485021.72,114881.887,484996.973
parkeervlak,"[[114797.889, 484983.019], [114824.714, 484899.743], [114821.058, 484898.581], [114821.0022807, 484898.5572357], [114820.9447085, 484898.5383992], [114820.8857182, 484898.5246326], [114820.8257554, 484898.51604], [114820.7652729, 484898.5126863], [114820.7047277, 484898.5145967], [114820.644577, 484898.521757], [114820.5852751, 484898.5341129], [114820.5272701, 484898.5515712], [114820.471, 484898.574], [114820.4181718, 484898.6005151], [114820.3677802, 484898.6314109], [114820.3201875, 484898.6664653], [114820.2757362, 484898.7054261], [114820.2347458, 484898.7480131], [114820.1975112, 484898.7939201], [114820.1643001, 484898.8428169], [114820.1353515, 484898.8943518], [114820.1108734, 484898.9481541], [114820.0910421, 484899.003837], [114820.076, 484899.061], [114819.552, 484900.737], [114793.747, 484980.884], [114793.7290912, 484980.9498089], [114793.7170197, 484981.0169342], [114793.7108783, 484981.0848593], [114793.7107144, 484981.1530613], [114793.7165293, 484981.2210151], [114793.7282781, 484981.2881977], [114793.7458704, 484981.3540919], [114793.7691708, 484981.4181905], [114793.798, 484981.48], [114793.8339442, 484981.5418643], [114793.8754242, 484981.6001616], [114793.9220886, 484981.6543981], [114793.9735421, 484981.7041144], [114794.0293487, 484981.7488892], [114794.0890358, 484981.7883433], [114794.1520977, 484981.8221423], [114794.218, 484981.85], [114797.889, 484983.019]]",114793.7107144,484983.019,114824.714,484898.5126863
parkeervlak,"[[114803.615, 484984.861], [114807.031, 484985.965], [114807.1089639, 484985.9943704], [114807.1891837, 484986.01686], [114807.2710534, 484986.0322989], [114807.3539544, 484986.0405704], [114807.4372606, 484986.041612], [114807.5203425, 484986.0354158], [114807.6025726, 484986.0220288], [114807.6833296, 484986.0015519], [114807.7620035, 484985.97414], [114807.838, 484985.94], [114807.9123781, 484985.8983804], [114807.9827652, 484985.8503184], [114808.0486047, 484985.7961939], [114808.1093761, 484985.7364349], [114808.1645989, 484985.6715139], [114808.2138365, 484985.6019441], [114808.2566996, 484985.5282756], [114808.2928494, 484985.4510908], [114808.322, 484985.371], [114812.919, 484971.107], [114812.9291491, 484971.0501238], [114812.9343614, 484970.9925848], [114812.934598, 484970.9348107], [114812.9298574, 484970.877231], [114812.9201746, 484970.8202736], [114812.9056217, 484970.7643619], [114812.8863069, 484970.7099116], [114812.8623737, 484970.6573273], [114812.834, 484970.607], [114812.7999553, 484970.5573859], [114812.7615973, 484970.5110257], [114812.7192352, 484970.4682932], [114812.6732108, 484970.429533], [114812.6238949, 484970.3950575], [114812.5716854, 484970.3651449], [114812.517003, 484970.3400362], [114812.4602888, 484970.3199338], [114812.402, 484970.305], [114808.72, 484969.148], [114803.615, 484984.861]]",114803.615,484986.041612,114812.934598,484969.148
fietspad,"[[114895.75, 485019.868], [114894.948, 485019.604], [114813.786, 484993.498], [114807.498, 484991.475], [114803.613, 484990.232], [114803.637, 484992.725], [114813.142, 484995.838], [114893.329, 485021.634], [114895.75, 485019.868]]",114803.613,485021.634,114895.75,484990.232
