bgt_name,polygon,x_min,y_max,x_max,y_min
rijbaan_lokale_weg,"[[114670.662, 484969.036], [114666.923, 484967.827], [114606.709, 484948.507], [114604.898, 484947.885], [114599.559, 484946.182], [114597.665, 484951.87], [114598.538, 484952.095], [114602.815, 484953.465], [114613.92, 484957.031], [114649.793, 484968.548], [114664.787, 484973.335], [114665.048, 484973.403], [114667.413, 484973.815], [114668.918, 484974.054], [114678.667, 484975.838], [114683.677, 484976.781], [114684.085, 484976.869], [114685.586, 484977.29], [114691.813, 484979.284], [114693.569, 484973.801], [114667.752, 484965.468], [114671.265, 484967.156], [114676.856, 484969.777], [114676.9000569, 484969.8055179], [114676.9415515, 484969.83765], [114676.9801883, 484969.8731673], [114677.0156917, 484969.9118168], [114677.0478089, 484969.953323], [114677.076311, 484969.9973901], [114677.1009947, 484970.0437041], [114677.1216844, 484970.091935], [114677.1382324, 484970.141739], [114677.1505209, 484970.1927613], [114677.1584623, 484970.2446382], [114677.162, 484970.297], [114677.161027, 484970.3508294], [114677.1554003, 484970.4043727], [114677.1451623, 484970.4572285], [114677.1303897, 484970.5090003], [114677.1111932, 484970.5592999], [114677.0877169, 484970.60775], [114677.0601367, 484970.6539873], [114677.0286596, 484970.697665], [114676.9935216, 484970.7384556], [114676.9549863, 484970.7760531], [114676.9133425, 484970.8101756], [114676.8689026, 484970.8405672], [114676.822, 484970.867], [114676.7751204, 484970.8861317], [114676.7267441, 484970.9010802], [114676.6772436, 484970.9117303], [114676.627, 484970.918], [114676.5765674, 484970.9198423], [114676.5261668, 484970.917271], [114676.4761835, 484970.9103058], [114676.427, 484970.899], [114670.662, 484969.036]]",114597.665,484979.284,114693.569,484946.182
rijbaan_lokale_weg,"[[114671.868, 484953.671], [114641.656, 484943.93], [114639.6, 484943.267], [114623.177, 484937.982], [114609.814, 484933.729], [114604.217, 484931.847], [114602.94, 484936.194], [114602.9618427, 484936.1504518], [114602.987598, 484936.109097], [114603.0170474, 484936.0702862], [114603.0499414, 484936.0343482], [114603.0860011, 484936.0015878], [114603.124921, 484935.9722826], [114603.166371, 484935.946681], [114603.21, 484935.925], [114603.2546011, 484935.9077043], [114603.300582, 484935.8945072], [114603.3475667, 484935.8855163], [114603.3951714, 484935.8808053], [114603.443007, 484935.8804126], [114603.4906827, 484935.8843414], [114603.5378087, 484935.8925596], [114603.584, 484935.905], [114604.0903783, 484935.9991301], [114604.595093, 484936.1018065], [114605.098, 484936.213], [114605.4500286, 484936.2961641], [114605.8010451, 484936.3835015], [114606.151, 484936.475], [114606.534, 484936.579], [114608.428, 484937.184], [114610.358, 484937.764], [114670.352, 484957.091], [114674.114, 484958.297], [114679.862, 484960.122], [114679.9077719, 484960.140962], [114679.9518058, 484960.1636696], [114679.9937959, 484960.1899652], [114680.0334506, 484960.2196659], [114680.0704942, 484960.2525656], [114680.1046697, 484960.2884357], [114680.1357395, 484960.327027], [114680.1634878, 484960.3680715], [114680.187722, 484960.4112842], [114680.2082736, 484960.4563647], [114680.225, 484960.503], [114680.2384477, 484960.5538766], [114680.2473434, 484960.6057431], [114680.2516173, 484960.6581931], [114680.2512358, 484960.7108156], [114680.2462021, 484960.7631982], [114680.2365555, 484960.8149303], [114680.2223717, 484960.8656066], [114680.2037618, 484960.91483], [114680.1808716, 484960.9622147], [114680.1538805, 484961.0073894], [114680.123, 484961.05], [114680.0873279, 484961.0919511], [114680.0479429, 484961.1304376], [114680.0051798, 484961.1651322], [114679.9594024, 484961.1957398], [114679.911, 484961.222], [114679.8659084, 484961.2415871], [114679.8193583, 484961.2573986], [114679.7716653, 484961.2693271], [114679.7231527, 484961.2772918], [114679.6741493, 484961.2812388], [114679.6249873, 484961.2811413], [114679.576, 484961.277], [114673.487, 484960.164], [114669.653, 484959.474], [114695.602, 484967.807], [114697.363, 484962.333], [114691.259, 484960.376], [114685.041, 484958.212], [114675.283, 484954.815], [114673.64, 484954.243], [114671.868, 484953.671]]",114602.94,484967.807,114697.363,484931.847
parkeervlak,"[[114588.294, 485011.701], [114589.404, 485012.061], [114589.4613293, 485012.0769377], [114589.5197866, 485012.0880466], [114589.5789659, 485012.0942494], [114589.6384562, 485012.0955031], [114589.6978442, 485012.091799], [114589.7567177, 485012.0831628], [114589.8146675, 485012.0696545], [114589.8712914, 485012.0513678], [114589.926196, 485012.0284299], [114589.979, 485012.001], [114590.031665, 485011.9676547], [114590.081221, 485011.9298431], [114590.1272903, 485011.8878533], [114590.1695217, 485011.8420055], [114590.2075934, 485011.7926491], [114590.2412153, 485011.7401602], [114590.270131, 485011.6849388], [114590.2941202, 485011.6274059], [114590.313, 485011.568], [114605.082, 484965.641], [114602.798, 484964.919], [114588.294, 485011.701]]",114588.294,485012.0955031,114605.082,484964.919
ov-baan,"[[114657.976, 484955.719], [114607.618, 484939.528], [114607.0210484, 484939.3379857], [114606.4230421, 484939.1513171], [114605.824, 484938.968], [114604.8283493, 484938.6714001], [114603.8299872, 484938.3840585], [114602.829, 484938.106], [114602.7904274, 484938.0892881], [114602.7534041, 484938.0693779], [114602.7181949, 484938.0464117], [114602.6850513, 484938.0205537], [114602.6542101, 484937.9919887], [114602.6258919, 484937.9609208], [114602.600299, 484937.9275721], [114602.5776144, 484937.8921808], [114602.558, 484937.855], [114602.5415821, 484937.8162577], [114602.5284984, 484937.7762662], [114602.5188426, 484937.7353116], [114602.5126838, 484937.6936873], [114602.5100661, 484937.6516914], [114602.5110084, 484937.6096245], [114602.5155038, 484937.5677879], [114602.5235201, 484937.5264811], [114602.535, 484937.486], [114602.408, 484937.851], [114600.276, 484943.978], [114605.161, 484945.371], [114605.717, 484945.519], [114656.233, 484961.764], [114657.976, 484955.719]]",114600.276,484961.764,114657.976,484937.486
fietspad,"[[114664.512, 484975.0], [114660.438, 484973.734], [114654.112, 484971.71], [114637.862, 484966.516], [114613.363, 484958.607], [114613.92, 484957.031], [114602.815, 484953.465], [114598.538, 484952.095], [114597.665, 484951.87], [114597.316, 484953.45], [114595.898, 484953.131], [114595.5349189, 484953.0568322], [114595.1735291, 484952.9748194], [114594.814, 484952.885], [114594.556869, 484952.815654], [114594.3008483, 484952.7423148], [114594.046, 484952.665], [114594.0060771, 484952.6481504], [114593.9676587, 484952.628106], [114593.931, 484952.605], [114593.8963645, 484952.5790021], [114593.8639595, 484952.5502719], [114593.834, 484952.519], [114593.8051633, 484952.4806808], [114593.7796817, 484952.4400532], [114593.757739, 484952.3974101], [114593.7394933, 484952.3530591], [114593.7250764, 484952.30732], [114593.7145921, 484952.2605226], [114593.708116, 484952.2130044], [114593.7056949, 484952.1651081], [114593.7073462, 484952.1171791], [114593.7130579, 484952.0695631], [114593.722789, 484952.0226033], [114593.7364693, 484951.9766384], [114593.754, 484951.932], [114593.7763255, 484951.8870666], [114593.8025511, 484951.844292], [114593.8324698, 484951.804014], [114593.8658453, 484951.7665505], [114593.9024142, 484951.7321971], [114593.941888, 484951.7012251], [114593.983955, 484951.673879], [114594.0282831, 484951.6503744], [114594.0745224, 484951.6308972], [114594.122308, 484951.6156008], [114594.1712627, 484951.6046062], [114594.221, 484951.598], [114593.068, 484951.692], [114591.974, 484951.884], [114590.902, 484952.174], [114589.861, 484952.559], [114588.858, 484953.035], [114588.256, 484953.411], [114588.3028049, 484953.3926943], [114588.3510529, 484953.3786257], [114588.4003612, 484953.3689057], [114588.4503389, 484953.3636114], [114588.5005893, 484953.3627849], [114588.5507141, 484953.3664327], [114588.6003154, 484953.3745258], [114588.649, 484953.387], [114588.6953031, 484953.4033214], [114588.7400123, 484953.4236057], [114588.7827891, 484953.4476995], [114588.8233098, 484953.4754203], [114588.8612675, 484953.5065583], [114588.896375, 484953.5408778], [114588.9283666, 484953.578119], [114588.957, 484953.618], [114588.9887384, 484953.6576134], [114589.0169593, 484953.6998049], [114589.0414544, 484953.7442631], [114589.062043, 484953.7906599], [114589.078573, 484953.8386526], [114589.0909224, 484953.8878872], [114589.099, 484953.938], [114589.1027553, 484953.9889145], [114589.1021009, 484954.0399632], [114589.0970419, 484954.0907647], [114589.0876159, 484954.1409398], [114589.0738934, 484954.1901138], [114589.0559769, 484954.2379195], [114589.034, 484954.284], [114588.8814224, 484954.5147874], [114588.7079292, 484954.7302934], [114588.5150413, 484954.928629], [114588.3044495, 484955.1080555], [114588.078, 484955.267], [114587.8738201, 484955.3853268], [114587.660849, 484955.486983], [114587.4404451, 484955.5713202], [114587.214014, 484955.6378006], [114586.983, 484955.686], [114586.9273258, 484955.6804505], [114586.8723396, 484955.6701099], [114586.8184529, 484955.6550558], [114586.7660688, 484955.6354006], [114586.7155796, 484955.6112915], [114586.6673629, 484955.582909], [114586.6217797, 484955.5504655], [114586.5791711, 484955.5142037], [114586.539856, 484955.474395], [114586.5041285, 484955.4313374], [114586.4722561, 484955.385353], [114586.4444773, 484955.3367861], [114586.421, 484955.286], [114586.401516, 484955.2318217], [114586.3869276, 484955.1761253], [114586.3773501, 484955.1193521], [114586.3728597, 484955.0619522], [114586.3734918, 484955.0043804], [114586.3792414, 484954.9470929], [114586.3900631, 484954.8905438], [114586.4058709, 484954.8351811], [114586.4265397, 484954.7814436], [114586.4519057, 484954.7297572], [114586.4817678, 484954.6805315], [114586.5158894, 484954.6341566], [114586.554, 484954.591], [114582.562, 484957.402], [114586.891, 484958.772], [114589.856, 484959.839], [114590.484, 484958.428], [114590.6600233, 484958.0589983], [114590.8661772, 484957.7059444], [114591.1010282, 484957.3712931], [114591.3629435, 484957.0573714], [114591.650102, 484956.7663619], [114591.9605069, 484956.5002881], [114592.292, 484956.261], [114592.6530233, 484956.044306], [114593.0313075, 484955.8593869], [114593.4240629, 484955.7076065], [114593.8283927, 484955.5900841], [114594.2413148, 484955.5076866], [114594.659784, 484955.4610217], [114595.0807139, 484955.4504334], [114595.501, 484955.476], [114595.6638167, 484955.4955016], [114595.8258788, 484955.5205112], [114595.987, 484955.551], [114596.1470383, 484955.5869434], [114596.3057658, 484955.6282926], [114596.463, 484955.675], [114601.21, 484957.194], [114661.988, 484976.786], [114662.788, 484977.034], [114664.393, 484977.506], [114681.979, 484982.407], [114685.122, 484983.389], [114686.757, 484983.916], [114686.033, 484981.2], [114677.882, 484978.894], [114670.846, 484976.815], [114668.58, 484976.231], [114667.023, 484975.777], [114664.512, 484975.0]]",114582.562,484983.916,114686.757,484951.598
